,Keys,Values,Z,S,K
157,"('02220913-4951-4265-8690-21e2f48baf88', 'W1', 1)",0.0,02220913-4951-4265-8690-21e2f48baf88,W1,1
158,"('02220913-4951-4265-8690-21e2f48baf88', 'W1', 2)",0.0,02220913-4951-4265-8690-21e2f48baf88,W1,2
159,"('02220913-4951-4265-8690-21e2f48baf88', 'W1', 3)",1.0,02220913-4951-4265-8690-21e2f48baf88,W1,3
160,"('022b601d-4f78-4270-9fd6-e2acac5864c8', 'W1', 0)",1.0,022b601d-4f78-4270-9fd6-e2acac5864c8,W1,0
161,"('022b601d-4f78-4270-9fd6-e2acac5864c8', 'W1', 1)",0.0,022b601d-4f78-4270-9fd6-e2acac5864c8,W1,1
162,"('022b601d-4f78-4270-9fd6-e2acac5864c8', 'W1', 2)",0.0,022b601d-4f78-4270-9fd6-e2acac5864c8,W1,2
163,"('022b601d-4f78-4270-9fd6-e2acac5864c8', 'W1', 3)",0.0,022b601d-4f78-4270-9fd6-e2acac5864c8,W1,3
164,"('0230dcab-e3d6-4f96-b0bf-6d565f39eaca', 'RC', 0)",1.0,0230dcab-e3d6-4f96-b0bf-6d565f39eaca,RC,0
165,"('0230dcab-e3d6-4f96-b0bf-6d565f39eaca', 'RC', 1)",0.0,0230dcab-e3d6-4f96-b0bf-6d565f39eaca,RC,1
166,"('0230dcab-e3d6-4f96-b0bf-6d565f39eaca', 'RC', 2)",0.0,0230dcab-e3d6-4f96-b0bf-6d565f39eaca,RC,2
167,"('0230dcab-e3d6-4f96-b0bf-6d565f39eaca', 'RC', 3)",0.0,0230dcab-e3d6-4f96-b0bf-6d565f39eaca,RC,3
168,"('025ac42c-1cd1-42f7-ab84-d74193d721db', 'W1', 0)",0.0,025ac42c-1cd1-42f7-ab84-d74193d721db,W1,0
169,"('025ac42c-1cd1-42f7-ab84-d74193d721db', 'W1', 1)",0.0,025ac42c-1cd1-42f7-ab84-d74193d721db,W1,1
170,"('025ac42c-1cd1-42f7-ab84-d74193d721db', 'W1', 2)",0.0,025ac42c-1cd1-42f7-ab84-d74193d721db,W1,2
171,"('025ac42c-1cd1-42f7-ab84-d74193d721db', 'W1', 3)",1.0,025ac42c-1cd1-42f7-ab84-d74193d721db,W1,3
172,"('0260e28c-8185-449d-80b7-717b0469fb5d', 'W1', 0)",0.0,0260e28c-8185-449d-80b7-717b0469fb5d,W1,0
173,"('0260e28c-8185-449d-80b7-717b0469fb5d', 'W1', 1)",1.0,0260e28c-8185-449d-80b7-717b0469fb5d,W1,1
174,"('0260e28c-8185-449d-80b7-717b0469fb5d', 'W1', 2)",0.0,0260e28c-8185-449d-80b7-717b0469fb5d,W1,2
175,"('0260e28c-8185-449d-80b7-717b0469fb5d', 'W1', 3)",0.0,0260e28c-8185-449d-80b7-717b0469fb5d,W1,3
176,"('026e90d2-307b-4e6f-a52f-a3d8c9a28039', 'W1', 0)",0.0,026e90d2-307b-4e6f-a52f-a3d8c9a28039,W1,0
177,"('026e90d2-307b-4e6f-a52f-a3d8c9a28039', 'W1', 1)",1.0,026e90d2-307b-4e6f-a52f-a3d8c9a28039,W1,1
178,"('026e90d2-307b-4e6f-a52f-a3d8c9a28039', 'W1', 2)",0.0,026e90d2-307b-4e6f-a52f-a3d8c9a28039,W1,2
179,"('026e90d2-307b-4e6f-a52f-a3d8c9a28039', 'W1', 3)",0.0,026e90d2-307b-4e6f-a52f-a3d8c9a28039,W1,3
180,"('029f9820-fddb-4b8c-bc16-8df8071ecfed', 'W1', 0)",1.0,029f9820-fddb-4b8c-bc16-8df8071ecfed,W1,0
181,"('029f9820-fddb-4b8c-bc16-8df8071ecfed', 'W1', 1)",0.0,029f9820-fddb-4b8c-bc16-8df8071ecfed,W1,1
182,"('029f9820-fddb-4b8c-bc16-8df8071ecfed', 'W1', 2)",0.0,029f9820-fddb-4b8c-bc16-8df8071ecfed,W1,2
183,"('029f9820-fddb-4b8c-bc16-8df8071ecfed', 'W1', 3)",0.0,029f9820-fddb-4b8c-bc16-8df8071ecfed,W1,3
184,"('02c1dbea-8876-4dbd-9604-815b718bd894', 'W2', 0)",0.0,02c1dbea-8876-4dbd-9604-815b718bd894,W2,0
185,"('02c1dbea-8876-4dbd-9604-815b718bd894', 'W2', 1)",1.0,02c1dbea-8876-4dbd-9604-815b718bd894,W2,1
