,Z,S,K,rmv,l,repair,dislocated,numprec,prdis,d_ijk,truedislocationcount,K',Sc
531,01bd8f8a-3dc6-4391-ad74-07f24c81f149,W2,0,62805.0,10959.780809140892,114.41992140517333,1.0,5.0,0.5160136930389743,2.5800684651948713,5.0,3,81646.5
544,01c207eb-b528-481e-a131-7fea792606b2,W1,0,159250.0,122687.18096857386,688.3619817662907,1.0,2.0,0.8054338505149901,1.6108677010299801,2.0,0,0.0
545,01c207eb-b528-481e-a131-7fea792606b2,W1,0,159250.0,122687.18096857386,688.3619817662907,1.0,2.0,0.8054338505149901,1.6108677010299801,2.0,1,47775.0
546,01c207eb-b528-481e-a131-7fea792606b2,W1,0,159250.0,122687.18096857386,688.3619817662907,1.0,2.0,0.8054338505149901,1.6108677010299801,2.0,2,159250.0
547,01c207eb-b528-481e-a131-7fea792606b2,W1,0,159250.0,122687.18096857386,688.3619817662907,1.0,2.0,0.8054338505149901,1.6108677010299801,2.0,3,207025.0
560,01caa447-5f93-4d40-8828-65362e526b9a,W2,0,215572.0,35204.050277757815,103.59154867729026,0.0,0.0,0.3218738324702075,0.0,0.0,0,0.0
561,01caa447-5f93-4d40-8828-65362e526b9a,W2,0,215572.0,35204.050277757815,103.59154867729026,0.0,0.0,0.3218738324702075,0.0,0.0,1,64671.6
562,01caa447-5f93-4d40-8828-65362e526b9a,W2,0,215572.0,35204.050277757815,103.59154867729026,0.0,0.0,0.3218738324702075,0.0,0.0,2,215572.0
563,01caa447-5f93-4d40-8828-65362e526b9a,W2,0,215572.0,35204.050277757815,103.59154867729026,0.0,0.0,0.3218738324702075,0.0,0.0,3,280243.60000000003
576,01d7119c-4d5b-46e6-a302-85f7fe94b529,RC,0,149780.0,119565.4142509388,700.0910024378586,0.0,0.0,0.0,0.0,0.0,0,0.0
577,01d7119c-4d5b-46e6-a302-85f7fe94b529,RC,0,149780.0,119565.4142509388,700.0910024378586,0.0,0.0,0.0,0.0,0.0,1,44934.0
578,01d7119c-4d5b-46e6-a302-85f7fe94b529,RC,0,149780.0,119565.4142509388,700.0910024378586,0.0,0.0,0.0,0.0,0.0,2,149780.0
579,01d7119c-4d5b-46e6-a302-85f7fe94b529,RC,0,149780.0,119565.4142509388,700.0910024378586,0.0,0.0,0.0,0.0,0.0,3,194714.0
592,02053cf7-3983-4902-bafd-2087e758414b,RC,0,24893.0,9623.134728815134,287.2511711270908,0.0,0.0,0.0,0.0,0.0,0,0.0
