guid,LS_0,LS_1,LS_2,DS_0,DS_1,DS_2,DS_3,hazard,rmv,year_built,struct_typ,econ_loss,repair,dislocated,numprec,prdis
8ff38d0a-6806-493e-bfe0-b824b5df6e44,0.9558874345130692,0.6945602859954241,0.1749466360290885,0.0441125654869307,0.2613271485176451,0.5196136499663355,0.1749466360290885,Earthquake+Tsunami,192619.0,2003,RC,93220.99894474166,372.4932927921698,,,
aa59451a-09f7-48f0-9719-cdac41f96987,0.9558874345130692,0.6945602859954241,0.1749466360290885,0.0441125654869307,0.2613271485176451,0.5196136499663355,0.1749466360290885,Earthquake+Tsunami,180017.0,2003,RC,87122.06255372294,372.4932927921698,,,
bad8de25-695d-484d-924a-732fdd741db3,0.9558874345130692,0.6945602859954241,0.1749466360290885,0.0441125654869307,0.2613271485176451,0.5196136499663355,0.1749466360290885,Earthquake+Tsunami,168239.0,2003,RC,81421.91394132661,372.4932927921698,,,
9461b4a8-0c02-4e0e-96f3-d57a6f7a14a1,0.9107229235472044,0.4412934672139582,0.0654564987177986,0.0892770764527957,0.469429456333246,0.3758369684961596,0.0654564987177986,Earthquake+Tsunami,252483.0,2203,RC,85548.59589453321,238.6868362220249,,,
b45f07c5-15a0-4936-97e8-6fbb435c1ac0,0.9101710214381912,0.4384396290633506,0.0652322693529304,0.0898289785618087,0.4717313923748406,0.3732073597104202,0.0652322693529304,Earthquake+Tsunami,252483.0,2203,RC,85223.26355452616,237.58800835171616,,,
950ed58d-0790-4caa-83cb-6d02161e0549,0.9558874345130692,0.6945602859954241,0.1749466360290885,0.0441125654869307,0.2613271485176451,0.5196136499663355,0.1749466360290885,Earthquake+Tsunami,235966.0,2003,RC,114199.46234273312,372.4932927921698,,,
e856cb83-f45b-404c-84c5-2f11a5ee77a4,0.9558874345130692,0.6945602859954241,0.1749466360290885,0.0441125654869307,0.2613271485176451,0.5196136499663355,0.1749466360290885,Earthquake+Tsunami,220529.0,2003,RC,106728.48304832302,372.4932927921698,,,
153f44cf-25fc-45e8-bc77-0f0fa6b49a78,0.9558874345130692,0.6945602859954241,0.1749466360290885,0.0441125654869307,0.2613271485176451,0.5196136499663355,0.1749466360290885,Earthquake+Tsunami,206102.0,2003,RC,99746.30916217582,372.4932927921698,,,
053a2d8d-84a1-47d8-a6bb-b2d11e67c9b3,0.9558874345130692,0.6945602859954241,0.1749466360290885,0.0441125654869307,0.2613271485176451,0.5196136499663355,0.1749466360290885,Earthquake+Tsunami,192619.0,2003,RC,93220.99894474166,372.4932927921698,,,
00c9cc54-20d1-4f8c-9454-5f0f8cf23f86,0.9558874345130692,0.6945602859954241,0.1749466360290885,0.0441125654869307,0.2613271485176451,0.5196136499663355,0.1749466360290885,Earthquake+Tsunami,180017.0,2003,RC,87122.06255372294,372.4932927921698,,,
96b6ce89-68ec-4beb-9a89-de35eaf6f512,0.9558874345130692,0.6945602859954241,0.1749466360290885,0.0441125654869307,0.2613271485176451,0.5196136499663355,0.1749466360290885,Earthquake+Tsunami,168239.0,2003,RC,81421.91394132661,372.4932927921698,,,
3a3c9097-182c-4608-acc5-dcc5ff508778,0.9558874345130692,0.6945602859954241,0.1749466360290885,0.0441125654869307,0.2613271485176451,0.5196136499663355,0.1749466360290885,Earthquake+Tsunami,307253.0,2003,RC,148699.9288168286,372.4932927921698,,,
d33f4707-cbb5-4829-b785-d834c423a0eb,0.9464091181617704,0.6425774980509861,0.1582530710858261,0.0535908818382296,0.3038316201107842,0.4843244269651598,0.1582530710858261,Earthquake+Tsunami,180085.0,2003,RC,82149.02406481837,347.37311444266777,,,
4a92a9d1-6eb8-4dfb-82d3-5f8cb97dd468,0.9552146016415608,0.6908319321946861,0.1734933890642902,0.0447853983584392,0.2643826694468747,0.5173385431303958,0.1734933890642902,Earthquake+Tsunami,87199.0,2003,RC,42019.75841273789,370.5876672897139,,,
feb54e51-afbd-4b5f-ade3-bf855347a1fb,0.9558874345130692,0.6945602859954241,0.1749466360290885,0.0441125654869307,0.2613271485176451,0.5196136499663355,0.1749466360290885,Earthquake+Tsunami,287151.0,2003,RC,138971.24929514487,372.4932927921698,,,
7be389df-c316-4a71-9edd-ee0ac7534903,0.9558874345130692,0.6945602859954241,0.1749466360290885,0.0441125654869307,0.2613271485176451,0.5196136499663355,0.1749466360290885,Earthquake+Tsunami,268366.0,2003,RC,129879.95266720591,372.4932927921698,,,
a383ff7f-f703-440f-9ea5-548e2beb6163,0.7322766942,0.3277134945,0.0977460084,0.2677233058,0.4045631997,0.2299674860999999,0.0977460084,Earthquake+Tsunami,120166.0,1973,W1,33466.16339430798,201.2166548787155,0.0,2.0,0.5159043755417569
5e728b02-7b9f-4265-b2bb-78af6aa2eac5,0.9558874345130692,0.6945602859954241,0.1749466360290885,0.0441125654869307,0.2613271485176451,0.5196136499663355,0.1749466360290885,Earthquake+Tsunami,250810.0,2003,RC,121383.44994694529,372.4932927921698,,,
ba190def-428d-4da1-bb34-09709ec3d10f,0.9558874345130692,0.6945602859954241,0.1749466360290885,0.0441125654869307,0.2613271485176451,0.5196136499663355,0.1749466360290885,Earthquake+Tsunami,234402.0,2003,RC,113442.53990855176,372.4932927921698,,,
7521431f-3c03-4100-8612-d3bbe86f0e1b,0.9558874345130692,0.6945602859954241,0.1749466360290885,0.0441125654869307,0.2613271485176451,0.5196136499663355,0.1749466360290885,Earthquake+Tsunami,219067.0,2003,RC,106020.92512071872,372.4932927921698,,,
