,Z,S,K,rmv,l,repair,dislocated,numprec,prdis,d_ijk,b,Q_t_hat
9694,80e74f2a-4c28-4071-8d3a-3cf2780aa856,W1,2,236479.0,137240.466029205,476.4266550712868,1.0,2.0,0.6778390762862612,1.3556781525725223,0,0.10182232422981125
9695,80e74f2a-4c28-4071-8d3a-3cf2780aa856,W1,3,236479.0,137240.466029205,238.21332753564337,1.0,2.0,0.6778390762862612,1.3556781525725223,0,0.050911162114905616
9696,80f64410-23b2-4c0a-bcaf-3015e09bd4b7,W1,0,0.0,0.0,458.7429171906272,0.0,2.0,0.6870919538845817,1.3741839077691633,1,0.09804294019889447
9697,80f64410-23b2-4c0a-bcaf-3015e09bd4b7,W1,1,0.0,0.0,390.9466964458583,0.0,2.0,0.6525226604942854,1.3050453209885708,0,0.08355347220471432
9698,80f64410-23b2-4c0a-bcaf-3015e09bd4b7,W1,2,0.0,0.0,458.7429171906272,0.0,2.0,0.6870919538845817,1.3741839077691633,0,0.09804294019889447
9699,80f64410-23b2-4c0a-bcaf-3015e09bd4b7,W1,3,0.0,0.0,229.3714585953136,0.0,2.0,0.6870919538845817,1.3741839077691633,0,0.04902147009944723
9700,80f7ed24-4854-4a42-9a78-510539e36d3e,RC,0,66263.0,26969.35185913256,311.9686828756692,0.0,0.0,0.0,0.0,1,0.06667422160198101
9701,80f7ed24-4854-4a42-9a78-510539e36d3e,RC,1,66263.0,22192.87184943851,242.8874135643781,0.0,0.0,0.0,0.0,0,0.0519101118966399
9702,80f7ed24-4854-4a42-9a78-510539e36d3e,RC,2,66263.0,24863.416956183708,280.9869684611497,0.0,0.0,0.0,0.0,0,0.06005278231698005
9703,80f7ed24-4854-4a42-9a78-510539e36d3e,RC,3,66263.0,26969.35185913256,155.9843414378346,0.0,0.0,0.0,0.0,0,0.033337110800990506
9704,80faa0b6-de8a-4f29-833c-7139b79427b4,W1,0,311244.0,280114.7331931533,815.8503676485977,1.0,0.0,0.8707779053073958,0.0,1,0.1743642589546052
9705,80faa0b6-de8a-4f29-833c-7139b79427b4,W1,1,311244.0,280112.6480627042,815.8434079061265,1.0,0.0,0.870774485963874,0.0,0,0.17436277151231597
9706,80faa0b6-de8a-4f29-833c-7139b79427b4,W1,2,311244.0,193094.69585762764,520.4933273591503,1.0,0.0,0.745406346382804,0.0,0,0.1112402922332016
9707,80faa0b6-de8a-4f29-833c-7139b79427b4,W1,3,311244.0,280114.7331931533,407.92518382429887,1.0,0.0,0.8707779053073958,0.0,0,0.0871821294773026
9708,810bde90-e2b2-4c58-9103-13bf57549011,W1,0,155907.0,140316.2601718642,815.8666165554747,0.0,0.0,0.0,0.0,1,0.1743677316852906
9709,810bde90-e2b2-4c58-9103-13bf57549011,W1,1,155907.0,140316.24324628134,815.8665039924041,0.0,0.0,0.0,0.0,0,0.17436770762821202
9710,810bde90-e2b2-4c58-9103-13bf57549011,W1,2,155907.0,96038.21687281004,516.0862969155197,0.0,0.0,0.0,0.0,0,0.11029841780626623
9711,810bde90-e2b2-4c58-9103-13bf57549011,W1,3,155907.0,140316.2601718642,407.93330827773735,0.0,0.0,0.0,0.0,0,0.0871838658426453
9712,810d000a-51ae-4d00-8dc7-de7a8516e386,W1,0,113056.0,101733.1064895258,815.705424382722,1.0,1.0,0.8755562417865325,0.8755562417865325,1,0.17433328155219532
9713,810d000a-51ae-4d00-8dc7-de7a8516e386,W1,1,113056.0,101725.75734453605,815.638024193909,1.0,1.0,0.8755270351010436,0.8755270351010436,0,0.17431887672449434
9714,810d000a-51ae-4d00-8dc7-de7a8516e386,W1,2,113056.0,69642.1369583945,516.0862969155197,1.0,1.0,0.7595187467890947,0.7595187467890947,0,0.11029841780626623
9715,810d000a-51ae-4d00-8dc7-de7a8516e386,W1,3,113056.0,101733.1064895258,407.852712191361,1.0,1.0,0.8755562417865325,0.8755562417865325,0,0.08716664077609766
9716,810f771d-c2be-4c2b-b8c1-22ebf43ec9e4,RC,0,252483.0,206835.53962506013,722.7297996856094,0.0,0.0,0.0,0.0,1,0.15446244917409901
9717,810f771d-c2be-4c2b-b8c1-22ebf43ec9e4,RC,1,252483.0,201336.02126222017,697.7815453812746,0.0,0.0,0.0,0.0,0,0.14913048629648953
9718,810f771d-c2be-4c2b-b8c1-22ebf43ec9e4,RC,2,252483.0,141913.00394656122,452.333322254278,0.0,0.0,0.0,0.0,0,0.0966730759252571
9719,810f771d-c2be-4c2b-b8c1-22ebf43ec9e4,RC,3,252483.0,206835.53962506013,361.3648998428047,0.0,0.0,0.0,0.0,0,0.07723122458704951
9720,81128abc-4827-437b-b64d-f5e3692da38a,W2,0,221176.0,198772.9890380212,814.5725771325069,1.0,4.0,0.7882074985727944,3.1528299942911775,1,0.17409116844037337
